No,StudentID,Last Name,First Name,Gender,Date of birth,SocialID
1,17125051,Vu Tran Kha,An,Male,5/3/1999,366301364
2,17125052,Nguyen Hong Thy,An,Female,6/3/1999,366301380
3,17125053,Pham Thi,An,Male,7/3/1999,366301396
4,17125054,To Pham Xuan,An,Female,8/3/1999,366301412
5,17125055,Vu Thy,An,Male,9/3/1999,366301428
6,17125056,Dang Ton Phuong,Anh,Female,10/3/1999,366301444
7,17125057,Dang Thi Van,Anh,Male,11/3/1999,366301460
8,17125058,Ung Duy,Anh,Female,12/3/1999,366301476
9,17125059,Trinh Thy Lan,Anh,Male,13/3/1999,366301492
10,17125060,Liu Hai,Anh,Female,14/3/1999,366301508
11,17125061,Hong Nhat,Anh,Male,15/3/1999,366301524
12,17125062,Le Phuoc,Anh,Female,16/3/1999,366301540
13,17125063,Le Hoa,Anh,Male,17/3/1999,366301556
14,17125064,Le Ngoc,Anh,Female,18/3/1999,366301572
15,17125065,Le Ngoc Tuyet,Anh,Male,19/3/1999,366301588
16,17125066,Le Thao Van,Anh,Female,20/3/1999,366301604
17,17125067,Nguyen Uoc,Anh,Male,21/3/1999,366301620
18,17125068,Nguyen Ho Tam,Anh,Female,22/3/1999,366301636
19,17125069,Nguyen Ngoc Phuong,Anh,Male,23/3/1999,366301652
20,17125070,Nguyen Ngoc Van,Anh,Female,24/3/1999,366301668
21,17125071,Nguyen Quang,Anh,Male,25/3/1999,366301684
22,17125072,Nguyen Quynh,Anh,Female,26/3/1999,366301700
23,17125073,Nguyen Tran Kim,Anh,Male,27/3/1999,366301716
24,17125074,Nguyen Yen,Anh,Female,28/3/1999,366301732
25,17125075,Phan Tran Lan,Anh,Male,29/3/1999,366301748
26,17125076,Tran Hong Kieu,Anh,Female,30/3/1999,366301764
27,17125077,Tran Ngoc Minh,Anh,Male,31/3/1999,366301780
28,17125078,Tran Nguyen Hong,Anh,Female,1/4/1999,366301796
29,17125079,Nguyen Ngoc,Anh,Male,2/4/1999,366301812
30,17125080,To Phuong Hong,Anh,Female,3/4/1999,366301828
31,17125081,Tran Thi Ngoc,Anh,Male,4/4/1999,366301844
32,17125082,Tran Thi Ngoc,Anh,Female,5/4/1999,366301860
33,17125083,Le Man Hong,Anh,Male,6/4/1999,366301876
34,17125084,Le Man Hong,Anh,Female,7/4/1999,366301892
35,17125085,Nguyen Trinh Hung,Anh,Male,8/4/1999,366301908
36,17125086,Ung Nguyen Anh,Bao,Female,9/4/1999,366301924
37,17125087,Le Hong Gia,Bao,Male,10/4/1999,366301940
38,17125088,Nguyen Dang Thien,Bao,Female,11/4/1999,366301956
39,17125089,Nguyen Hong Gia,Bao,Male,12/4/1999,366301972
40,17125090,Phan Nguyen Hong,Bao,Female,13/4/1999,366301988
41,17125091,To Thi,Bao,Male,14/4/1999,366302004
42,17125092,Tran Pham Gia,Bao,Female,15/4/1999,366302020
43,17125093,Ho Nguyen Tuan,Binh,Male,16/4/1999,366302036
44,17125094,Nguyen,Binh,Female,17/4/1999,366302052
45,17125095,Nguyen,Binh,Male,18/4/1999,366302068
46,17125096,Trinh Thi,Binh,Female,19/4/1999,366302084
47,17125097,To Quang,Binh,Male,20/4/1999,366302100
48,17125098,La Thanh Minh,Chu,Female,21/4/1999,366302116
49,17125099,Le Nguyen Bao,Chu,Male,22/4/1999,366302132
50,17125100,Nguyen Hong Minh,Chu,Female,23/4/1999,366302148
