1,20125001,Zorina Abreu,Gonzalez,Male,1/1/2002,366299764
2,20125002,Yoon Akin-Aderibigbe,Wilson,Male,2/1/2002,366299780
3,20125003,Yi Aramendia,Wilson,Female,3/1/2002,366299796
4,20125004,Ya-Han Bagdat,Anderson,Male,4/1/2002,366299812
5,20125005,Willem Baxter,Thomas,Male,5/1/2002,366299828
6,20125006,Valle Berkman,Taylor,Male,6/1/2002,366299844
7,20125007,Thomas Brandt,Moore,Female,7/1/2002,366299860
8,20125008,Taylor Buckley,Jacksom,Female,8/1/2002,366299876
9,20125009,Sung Casasayas,Martin,Male,9/1/2002,366299892
10,20125010,Spencer Chang,Lee,Female,10/1/2002,366299908
11,20125011,Scott Chen,Perez,Female,11/1/2002,366299924
12,20125012,Satiya Cheung,White,Male,12/1/2002,366299940
13,20125013,Samantha Chu,Harris,Male,13/1/2002,366299956
14,20125014,Ryan Cloke,Clack,Male,14/1/2002,366299972
15,20125015,Robert Cruse,Sanchez,Female,15/1/2002,366299988
16,20125016,Richard Dean,Lewis,Male,16/1/2002,366300004
17,20125017,Phill Doyle,Robinson,Male,17/1/2002,366300020
18,20125018,Peter Ferrero,Yong,Female,18/1/2002,366300036
19,20125019,Owen Franzoni,Wlker,Female,19/1/2002,366300052
20,20125020,Nishant Gao,Young,Female,20/1/2002,366300068
21,20125021,Nathan Gibb,King,Female,21/1/2002,366300084
22,20125022,Mohtadi Greer,Gonzalez,Female,22/1/2002,366300100
23,20125023,Michael Guinn,Wilson,Male,23/1/2002,366300116
24,20125024,Matthew Hawkins,Wilson,Female,24/1/2002,366300132
25,20125025,Martinez Hofman,Anderson,Male,25/1/2002,366300148
26,20125026,Zorina Abreu,Thomas,Female,26/1/2002,366300164
27,20125027,Zhen Abu-Zahra,Taylor,Female,27/1/2002,366300180
28,20125028,Zhanetta Adeyeye,Moore,Male,28/1/2002,366300196
29,20125029,Yunzhe Afonso,Jacksom,Female,29/1/2002,366300212
30,20125030,Youngjin Ahn,Martin,Female,30/1/2002,366300228
31,20125031,Yu Ahn,Lee,Male,31/1/2002,366300244
32,20125032,Yoon Akin-Aderibigbe,Perez,Female,1/2/2002,366300260
33,20125033,Yookyung Alexander,White,Female,2/2/2002,366300276
34,20125034,Yi-Shiuan Alsamdan,Harris,Male,3/2/2002,366300292
35,20125035,Yingda Alter,Clack,Female,4/2/2002,366300308
36,20125036,Ying Altmann,Sanchez,Male,5/2/2002,366300324
37,20125037,Yi-Feng Alvarez,Lewis,Female,6/2/2002,366300340
38,20125038,Yi Aramendia,Robinson,Male,7/2/2002,366300356
39,20125039,Yaya Ashkenazi,Yong,Male,8/2/2002,366300372
40,20125040,Yat-Lun Atri,Wlker,Male,9/2/2002,366300388
41,20125041,Yasuhiro Au,Young,Female,10/2/2002,366300404
42,20125042,Yanwen Aurori,King,Female,11/2/2002,366300420
43,20125043,Yan Austin,Gonzalez,Male,12/2/2002,366300436
44,20125044,Ya-Han Bagdat,Wilson,Female,13/2/2002,366300452
45,20125045,Yael Bala,Wilson,Female,14/2/2002,366300468
46,20125046,Wushen Banovac,Anderson,Male,15/2/2002,366300484
47,20125047,Won Barakat,Thomas,Male,16/2/2002,366300500
48,20125048,Won Barnes,Taylor,Male,17/2/2002,366300516
49,20125049,William Barrett,Moore,Female,18/2/2002,366300532
50,20125050,Willem Baxter,Jacksom,Male,19/2/2002,366300548
