1,20125055,William Baxter,Martin,Male,20/2/2002,366300564
2,20125056,Wei Beatty,Lee,Female,21/2/2002,366300580
3,20125057,Wayne Bechrakis,Perez,Female,22/2/2002,366300596
4,20125058,Vivek Beistegui,White,Female,23/2/2002,366300612
5,20125059,Viacheslav Benchimol,Harris,Female,24/2/2002,366300628
6,20125060,Valle Berkman,Clack,Female,25/2/2002,366300644
7,20125061,Uros Birkhofer,Sanchez,Male,26/2/2002,366300660
8,20125062,Trent Blakely,Lewis,Female,27/2/2002,366300676
9,20125063,Tobias Blattman,Robinson,Male,28/2/2002,366300692
10,20125064,Timothy Bolton,Yong,Female,1/3/2002,366300708
11,20125065,Tiffanie Bosson,Wlker,Female,2/3/2002,366300724
12,20125066,Thomas Brandt,Young,Male,3/3/2002,366300740
13,20125067,Thomas Braun,King,Female,4/3/2002,366300756
14,20125068,Theodore Brodsky,Gonzalez,Female,5/3/2002,366300772
15,20125069,Thavin Bromberg,Wilson,Male,6/3/2002,366300788
16,20125070,Ted Brown,Wilson,Female,7/3/2002,366300804
17,20125071,Thanadtha Brown,Anderson,Female,8/3/2002,366300820
18,20125072,Taylor Buckley,Thomas,Male,9/3/2002,366300836
19,20125073,Taryn Canal,Taylor,Female,10/3/2002,366300852
20,20125074,Tara Cantrock,Moore,Male,11/3/2002,366300868
21,20125075,Tanzeer Cao,Jacksom,Female,12/3/2002,366300884
22,20125076,Tae Carrillo,Martin,Male,13/3/2002,366300900
23,20125077,Tadamitsu Carrow,Lee,Male,14/3/2002,366300916
24,20125078,Sung Casasayas,Perez,Male,15/3/2002,366300932
25,20125079,Suanne Cautero,White,Female,16/3/2002,366300948
26,20125080,Stuti Cha,Harris,Female,17/3/2002,366300964
27,20125081,Stephen Chan,Clack,Male,18/3/2002,366300980
28,20125082,Steven Chan,Sanchez,Female,19/3/2002,366300996
29,20125083,Sompop Chang,Lewis,Female,20/3/2002,366301012
30,20125084,Spencer Chang,Robinson,Male,21/3/2002,366301028
31,20125085,Stephanie Chang,Yong,Male,22/3/2002,366301044
32,20125086,Simond Chat,Wlker,Male,23/3/2002,366301060
33,20125087,Simon Chau,Young,Female,24/3/2002,366301076
34,20125088,Shiv Chayet,King,Male,25/3/2002,366301092
35,20125089,Shannon Cheesebro,Gonzalez,Male,26/3/2002,366301108
36,20125090,Scott Chen,Wilson,Female,27/3/2002,366301124
37,20125091,Se Chen,Wilson,Female,28/3/2002,366301140
38,20125092,Sean Chen,Anderson,Female,29/3/2002,366301156
39,20125093,Seth Chen,Thomas,Female,30/3/2002,366301172
40,20125094,Sevag Chen,Taylor,Female,31/3/2002,366301188
41,20125095,Scott Cheng,Moore,Male,1/4/2002,366301204
42,20125096,Satiya Cheung,Jacksom,Female,2/4/2002,366301220
43,20125097,Sarah Chin,Martin,Male,3/4/2002,366301236
44,20125098,Sara Chomitz,Lee,Female,4/4/2002,366301252
45,20125099,Samuel Chou,Perez,Female,5/4/2002,366301268
46,20125100,Sang Chou,White,Male,6/4/2002,366301284
47,20125101,Sangjo Chou,Harris,Female,7/4/2002,366301300
48,20125102,Samantha Chu,Clack,Female,8/4/2002,366301316
49,20125103,Samaneh Chua,Sanchez,Male,9/4/2002,366301332
50,20125104,Salas Chung,Lewis,Female,10/4/2002,366301348
