No,StudentID,Last Name,First Name,Gender,Date of birth,SocialID
1,18125051,Nguyen Cao Kieu,Duyen,Male,21/12/2000,366299764
2,18125052,Nguyen Thi My,Duyen,Female,22/12/2000,366299780
3,18125053,Tran Ngoc My,Duyen,Male,23/12/2000,366299796
4,18125054,Nguyen,Duyen,Female,24/12/2000,366299812
5,18125055,Nguyen Thi Thy,Duyen,Male,25/12/2000,366299828
6,18125056,Tran Van,Duyen,Female,26/12/2000,366299844
7,18125057,Pham Thi,Duyen,Male,27/12/2000,366299860
8,18125058,Nguyen Chu,Duyen,Female,28/12/2000,366299876
9,18125059,Nguyen Le Thanh,Duyen,Male,29/12/2000,366299892
10,18125060,Nguyen Thanh,Duyen,Female,30/12/2000,366299908
11,18125061,Nguyen Tuan,Duyen,Male,31/12/2000,366299924
12,18125062,Tran Huynh Thanh,Duyen,Female,1/1/2000,366299940
13,18125063,Vi Tan,Duyen,Male,2/1/2000,366299956
14,18125064,Tran Hai,Duyen,Female,3/1/2000,366299972
15,18125065,Vy Ngoc Hai,Duyen,Male,4/1/2000,366299988
16,18125066,Vi Nguyen Hong,Duyen,Female,5/1/2000,366300004
17,18125067,Nguyen Tran,Duyen,Male,6/1/2000,366300020
18,18125068,Nguyen Van,Duyen,Female,7/1/2000,366300036
19,18125069,Le Thi Huong,Giang,Male,8/1/2000,366300052
20,18125070,Vu Ngoc Quynh,Giang,Female,9/1/2000,366300068
21,18125071,Le Nho,Gio,Male,10/1/2000,366300084
22,18125072,Nguyen Thi Bich,Hai,Female,11/1/2000,366300100
23,18125073,Pham Thi Ngan,Hai,Male,12/1/2000,366300116
24,18125074,Vi Thi Thu,Hai,Female,13/1/2000,366300132
25,18125075,Le Van,Hai,Male,14/1/2000,366300148
26,18125076,Vu Ngoc Anh,Hai,Female,15/1/2000,366300164
27,18125077,Pham Nguyen Khanh,Hong,Male,16/1/2000,366300180
28,18125078,Pham Huynh Kim,Han,Female,17/1/2000,366300196
29,18125079,Ung Thi Bao,Han,Male,18/1/2000,366300212
30,18125080,Nguyen Hong,Han,Female,19/1/2000,366300228
31,18125081,Pham Hong,Han,Male,20/1/2000,366300244
32,18125082,Nguyen Xuan,Hien,Female,21/1/2000,366300260
33,18125083,Vu Ngoc,Hien,Male,22/1/2000,366300276
34,18125084,Trinh Hong,Hien,Female,23/1/2000,366300292
35,18125085,Nguyen Phan,Hieu,Male,24/1/2000,366300308
36,18125086,Nguyen,Hieu,Female,25/1/2000,366300324
37,18125087,Nguyen Xuan,Hieu,Male,26/1/2000,366300340
38,18125088,Pham Minh,Hieu,Female,27/1/2000,366300356
39,18125089,Pham Thi Ngoc,Hieu,Male,28/1/2000,366300372
40,18125090,Tran Thi Thy,Hoa,Female,29/1/2000,366300388
41,18125091,Bui Phuong,Hoai,Male,30/1/2000,366300404
42,18125092,Nguyen Thi,Hoan,Female,31/1/2000,366300420
43,18125093,Ton Thinh Kim,Hong,Male,1/2/2000,366300436
44,18125094,Nguyen Ngoc,Hong,Female,2/2/2000,366300452
45,18125095,Nguyen Tat,Hong,Male,3/2/2000,366300468
46,18125096,Vu Nguyen Huy,Hong,Female,4/2/2000,366300484
47,18125097,Vinh Quoc,Hong,Male,5/2/2000,366300500
48,18125098,Nguyen Hau,Hong,Female,6/2/2000,366300516
49,18125099,Bui Quoc,Huy,Male,7/2/2000,366300532
50,18125100,Dieu Thieu Tran,Huy,Female,8/2/2000,366300548
