1,19120002,Saeed Cilento,Robinson,Female,1/1/2001,366301364
2,19120003,Ryan Clark,Yong,Male,2/1/2001,366301380
3,19120004,Sachie Clark,Wiker,Female,3/1/2001,366301396
4,19120005,Ryan Cloke,Young,Male,4/1/2001,366301412
5,19120006,Rui Cockle,King,Female,5/1/2001,366301428
6,19120007,Roger Cooney,Gonzalez,Male,6/1/2001,366301444
7,19120008,Roger Coyle,Wilson,Male,7/1/2001,366301460
8,19120009,Rodriguez Crabtree,Wilson,Male,8/1/2001,366301476
9,19120010,Robert Crunelle,Anderson,Female,9/1/2001,366301492
10,19120011,Robert Cruse,Thomas,Female,10/1/2001,366301508
11,19120012,Robert Cusnir,Taylor,Male,11/1/2001,366301524
12,19120013,Robert Dahmubed,Moore,Female,12/1/2001,366301540
13,19120014,Robert Darby,Jacksom,Female,13/1/2001,366301556
14,19120015,Robert Davidowitz,Martin,Male,14/1/2001,366301572
15,19120016,Rikin Davis,Lee,Male,15/1/2001,366301588
16,19120017,Richard Dean,Perez,Male,16/1/2001,366301604
17,19120018,Richard Del,White,Female,17/1/2001,366301620
18,19120019,Remy Deomampo,Harris,Male,18/1/2001,366301636
19,19120020,Rahul Dickstein,Clack,Male,19/1/2001,366301652
20,19120021,Radu Donahue,Sanchez,Female,20/1/2001,366301668
21,19120022,Preston Doorey,Lewis,Female,21/1/2001,366301684
22,19120023,Phill Doyle,Robinson,Female,22/1/2001,366301700
23,19120024,Philip Druckman,Yong,Female,23/1/2001,366301716
24,19120025,Philip Duncan,Wlker,Female,24/1/2001,366301732
25,19120026,Peter Elia,Young,Male,25/1/2001,366301748
26,19120027,Peter Erickson,King,Female,26/1/2001,366301764
27,19120028,Peter Espinosa,Gonzalez,Male,27/1/2001,366301780
28,19120029,Peter Ferrero,Wilson,Female,28/1/2001,366301796
29,19120030,Perez Figueiredo,Wilson,Female,29/1/2001,366301812
30,19120031,Patrick Fixler,Anderson,Male,30/1/2001,366301828
31,19120032,Patrick Flegal,Thomas,Female,31/1/2001,366301844
32,19120033,Patino Forsyth,Taylor,Female,1/2/2001,366301860
33,19120034,Pallavi Fox,Moore,Male,2/2/2001,366301876
34,19120035,Owen Franzoni,Jacksom,Female,3/2/2001,366301892
35,19120036,Ophir Friedman,Martin,Female,4/2/2001,366301908
36,19120037,Obaid Friis,Lee,Male,5/2/2001,366301924
37,19120038,Noelle Fu,Perez,Female,6/2/2001,366301940
38,19120039,Noel Gambino,White,Male,7/2/2001,366301956
39,19120040,Nicole Gao,Harris,Female,8/2/2001,366301972
40,19120041,Nishant Gao,Clack,Male,9/2/2001,366301988
41,19120042,Nicole Garcia,Sanchez,Male,10/2/2001,366302004
42,19120043,Nicolas Gautam,Lewis,Male,11/2/2001,366302020
43,19120044,Neto Gautier,Robinson,Female,12/2/2001,366302036
44,19120045,Negrin Gee,Yong,Female,13/2/2001,366302052
45,19120046,Nawaz Georges,Wlker,Male,14/2/2001,366302068
46,19120047,Nathan Gibb,Young,Female,15/2/2001,366302084
47,19120048,Natalie Glenn,King,Female,16/2/2001,366302100
48,19120049,Nashat Goswamy,Gonzalez,Male,17/2/2001,366302116
49,19120050,Nancy Goto,Wilson,Male,18/2/2001,366302132
50,19120051,Muge Graves,Wilson,Male,19/2/2001,366302148
